it global_time dt rho m1 m2 m3 e b1 b2 b3 c1 c2 c3 c4 c5 c6 n1 n2 n3 n4 n5 n6 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
      90  5.78189563E-01  7.23912035E-03   9.00000000E+05 -2.06056933E-13  1.76225701E-12 -3.27632852E-14  6.03450938E+05  2.25833892E-15 -1.15440426E-16 -1.08585005E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.70E+05  2.00E+00  1.25E+00  6.48E-03
      92  5.91038220E-01  7.23912015E-03   9.00000000E+05 -1.88293757E-13  1.84170734E-12 -5.25390956E-14  6.03450958E+05  1.39195296E-15 -1.18774348E-16 -1.16965357E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.81E+05  2.00E+00  1.17E+00  6.09E-03
      94  6.03886877E-01  7.23911995E-03   9.00000000E+05 -2.16714613E-13  1.91795191E-12 -4.95083016E-14  6.03450979E+05  9.11922447E-16 -1.23138262E-16 -1.25540850E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.25E+05  2.00E+00  1.69E+00  8.78E-03
      96  6.16735534E-01  7.23911975E-03   9.00000000E+05 -2.23820433E-13  2.13122575E-12 -5.37246156E-14  6.03451000E+05  5.26813836E-16 -1.29209794E-16 -1.34201629E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.54E+05  2.00E+00  1.38E+00  7.16E-03
      98  6.29584191E-01  7.23911955E-03   9.00000000E+05 -1.27897299E-13  2.31058228E-12 -4.38052694E-14  6.03451021E+05  2.17924637E-17 -1.38289987E-16 -1.42996858E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.51E+05  2.00E+00  1.41E+00  7.28E-03
     100  6.42432848E-01  7.23911936E-03   9.00000000E+05  2.13168377E-14  2.59745003E-12 -6.54238275E-14  6.03451042E+05 -4.35307172E-16 -1.47749651E-16 -1.51924625E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.63E+05  2.00E+00  1.30E+00  6.73E-03
     102  6.55281505E-01  7.23911917E-03   9.00000000E+05  6.39488191E-14  2.89995805E-12 -7.42403948E-14  6.03451063E+05 -5.34294831E-16 -1.58130887E-16 -1.60966191E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.63E+05  2.00E+00  1.30E+00  6.72E-03
     104  6.68130162E-01  7.23911898E-03   9.00000000E+05  1.95399564E-13  3.02474712E-12 -7.60319457E-14  6.03451083E+05 -3.71285034E-16 -1.71141313E-16 -1.70098924E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.57E+05  2.00E+00  1.35E+00  6.97E-03
     106  6.80978819E-01  7.23911880E-03   9.00000000E+05  2.66454136E-13  3.03715386E-12 -6.80715030E-14  6.03451104E+05 -4.19315190E-16 -1.86076198E-16 -1.79299267E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.58E+05  2.00E+00  1.34E+00  6.94E-03
     108  6.93827476E-01  7.23911862E-03   9.00000000E+05  2.94876292E-13  3.15693305E-12 -6.78906064E-14  6.03451125E+05 -9.37780669E-16 -2.00441877E-16 -1.88548492E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.58E+05  2.00E+00  1.35E+00  6.95E-03
