it global_time dt rho m1 m2 m3 e b1 b2 b3 c1 c2 c3 c4 c5 c6 n1 n2 n3 n4 n5 n6 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
      98  6.29584191E-01  7.23914963E-03   9.00000000E+05 -1.06581587E-13 -5.36454073E-13  2.22138117E-15  6.03450000E+05  2.85145171E-17 -1.19262239E-18 -1.42389229E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.28E+05  2.00E+00  1.66E+00  8.60E-03
     100  6.42432848E-01  7.23914962E-03   9.00000000E+05 -7.10546259E-14 -4.33426596E-13 -6.85159191E-15  6.03450000E+05  7.28041759E-17 -2.57498016E-18 -1.51277284E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.33E+05  2.00E+00  1.59E+00  8.25E-03
     102  6.55281505E-01  7.23914961E-03   9.00000000E+05 -3.19749923E-14 -6.82119021E-13 -5.86935218E-15  6.03450000E+05  1.13515967E-16 -3.57786717E-18 -1.60278563E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.52E+05  2.00E+00  1.39E+00  7.20E-03
     104  6.68130162E-01  7.23914960E-03   9.00000000E+05 -6.39488462E-14 -7.24756437E-13 -5.41908302E-15  6.03450000E+05  1.44361519E-16 -9.35124374E-18 -1.69370561E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.67E+05  2.00E+00  1.27E+00  6.57E-03
     106  6.80978819E-01  7.23914959E-03   9.00000000E+05 -4.97379373E-14 -6.50156686E-13 -5.71850239E-15  6.03450000E+05  1.62792956E-16 -1.81061763E-17 -1.78529867E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.54E+05  2.00E+00  1.38E+00  7.13E-03
     108  6.93827476E-01  7.23914958E-03   9.00000000E+05 -6.75019394E-14 -6.78584793E-13 -4.87596041E-15  6.03450000E+05  1.66425033E-16 -3.33121117E-17 -1.87737881E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.64E+05  2.00E+00  1.29E+00  6.67E-03
     110  7.06676133E-01  7.23914957E-03   9.00000000E+05 -1.27899007E-13 -7.35430326E-13 -4.21127841E-15  6.03450000E+05  1.49403059E-16 -1.17906986E-17 -1.96981903E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.63E+05  2.00E+00  1.30E+00  6.71E-03
     112  7.19524790E-01  7.23914956E-03   9.00000000E+05 -1.45663321E-13 -7.63852252E-13 -3.82946645E-15  6.03450000E+05  1.19262239E-16  3.03576608E-17 -2.06255523E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.63E+05  2.00E+00  1.30E+00  6.72E-03
     114  7.32373447E-01  7.23914955E-03   9.00000000E+05 -6.75055714E-14 -6.89245481E-13 -3.68793402E-15  6.03450000E+05  9.31329666E-17  5.35595873E-17 -2.15594038E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.65E+05  2.00E+00  1.28E+00  6.62E-03
     116  7.45222104E-01  7.23914954E-03   9.00000000E+05 -1.77720252E-14 -6.21744301E-13 -3.65809305E-15  6.03450000E+05  7.20994445E-17  6.41034534E-17 -2.25067705E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.83E+05  2.00E+00  1.16E+00  5.95E-03
     118  7.58070761E-01  7.23914953E-03   9.00000000E+05  2.94861249E-13 -7.31877802E-13 -4.27311689E-15  6.03450000E+05  4.63496429E-17  6.82776318E-17 -2.34722801E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.49E+05  2.00E+00  1.43E+00  7.34E-03
     120  7.70919418E-01  7.23914952E-03   9.00000000E+05  2.62881812E-13 -5.54245723E-13 -4.30490435E-15  6.03450000E+05  1.65882932E-17  7.31023315E-17 -2.44520816E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.61E+05  2.00E+00  1.32E+00  6.76E-03
     122  7.83768075E-01  7.23914952E-03   9.00000000E+05  8.16904866E-14 -4.12131443E-13 -2.96652453E-15  6.03450000E+05 -1.43114687E-17  8.18030539E-17 -2.54417376E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.84E+05  2.00E+00  1.15E+00  5.91E-03
     124  7.96616732E-01  7.23914951E-03   9.00000000E+05 -5.33144221E-14 -3.87256674E-13 -3.52165467E-15  6.03450000E+05 -4.36391374E-17  9.43797991E-17 -2.64455451E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.88E+05  2.00E+00  1.13E+00  5.78E-03
     126  8.09465389E-01  7.23914950E-03   9.00000000E+05 -1.17264217E-13 -3.94357534E-13 -2.82983543E-15  6.03450000E+05 -8.37004077E-17  1.07715486E-16 -2.74600732E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.90E+05  2.00E+00  1.12E+00  5.74E-03
